source,target
6163,2997
19528,14607
15411,16404
14392,12413
1099,3599
5604,5385
15967,3361
12761,12317
16204,7057
12184,12696
11591,4023
15876,8579
7461,7355
3888,6211
12163,19973
15737,6710
18207,11852
12349,10283
16757,5013
1165,5999
13250,1779
7068,18082
18965,17042
7157,5830
10690,752
13419,4718
9465,11051
8335,14146
2774,12489
3489,14649
30,13928
3813,16880
3423,8228
11283,6498
4572,4763
18134,15102
3429,14061
10223,280
13573,8056
15203,16255
5879,6747
9675,10963
3739,4574
7343,19946
5120,7869
4213,4920
15169,15915
12255,10822
2332,7366
10502,4247
206,800
512,16908
7545,15654
18337,5761
13339,13597
15937,3177
12505,3451
17501,7175
18172,12680
13011,4452
16614,5304
5270,16731
2333,2601
14453,13537
15349,7555
1426,18948
5492,1946
9639,8650
19065,14206
472,6624
16358,4620
17498,14794
19688,6034
2910,4657
6829,14827
11464,8704
2980,17152
15393,9647
1940,10869
5959,6616
1200,16403
1327,17527
19530,3060
4515,18409
18974,5336
10605,15976
4820,6421
14777,9043
16732,7211
3467,9895
5753,10529
6382,2470
15346,7421
9028,250
2123,17795
2994,5822
7568,6627
6833,2308
4198,87
15799,9906
10174,2741
18392,112
19101,13791
12753,4024
4924,11782
1837,16938
11518,19829
634,11563
3916,16005
11392,9251
16351,14465
5216,1547
9309,3621
1719,18912
3664,1804
19301,513
719,17758
1385,19580
12380,15249
1564,7054
3820,10649
5260,17693
1516,5465
12576,8975
13589,6950
18375,10805
18463,18181
10718,13189
17049,10838
17970,1865
11759,12677
15600,5893
16796,14309
3713,17275
14387,4110
1241,19810
14067,13614
14609,7621
2829,4657
9217,12829
17491,7972
8521,14596
17839,2083
1785,17219
18144,7402
14964,4790
18475,18723
19527,6552
19923,8450
18829,16132
17017,13977
14022,4949
1472,4003
5536,8549
10957,14943
1340,14002
3483,13578
14246,11310
4281,6547
12149,1405
19059,8673
16867,11780
3772,4945
5924,4721
7233,14596
11114,16807
8760,12627
17774,8759
8820,5559
17747,15460
5702,2549
15411,4441
19566,2440
19792,2477
1847,1070
2451,7526
18798,9625
5603,1751
19321,17603
5827,9474
11346,15644
11368,16097
15493,10370
5824,8676
16232,185
5256,19281
455,12540
6256,16027
4337,8090
15794,4191
9045,17773
9108,16188
15018,2844
7621,16287
11573,9111
14950,12189
6915,17532
7650,15496
6440,17867
16129,24
18644,4628
551,3625
10912,16422
3056,14620
14552,8115
10850,10134
11354,3513
5657,13007
14745,1833
17061,14994
4616,14728
9322,1007
19766,12385
1587,13605
7516,12812
2032,17255
10199,16063
2365,3424
10954,6320
7877,8408
9544,11220
17747,13998
4842,19319
6497,6689
9395,14337
8661,8993
10719,13067
8524,11401
12511,18356
4594,19138
14713,13359
8729,18409
6056,233
11352,5201
9322,11505
568,7540
15441,5365
17852,16959
438,11885
13493,8574
12449,18515
3362,9270
11393,19229
15837,6345
5141,9932
4134,14547
1693,9185
11427,5391
11721,19323
4002,12022
4849,19816
11670,18120
10345,12392
17914,8813
17756,6975
13999,13412
2315,13329
7060,7680
2477,15713
19076,9898
17625,11983
13051,16528
14947,4902
10740,11911
8877,8948
4583,17141
2090,9456
13053,323
4337,17822
4654,10495
16402,16392
4098,17873
15859,12200
17942,1200
10999,11473
204,14565
16181,5769
12522,917
3686,17002
13018,2441
10739,18379
3443,17297
5306,19242
6292,3578
14011,7040
6751,13587
4831,10251
19461,3859
897,19327
2590,8323
17012,17777
14053,7946
4013,6066
4282,2039
10832,3789
19229,7083
15153,3876
18772,5459
1933,3398
89,9743
17482,7222
2648,15356
13794,7574
13260,447
6021,10417
6424,14954
4358,2053
1331,15445
18563,3881
11973,9365
6868,10117
18307,5824
16982,1955
15006,11635
17830,18722
7036,5659
12524,10489
5190,14618
14624,16081
16712,7854
19956,948
17914,6334
13224,9585
12952,19028
8955,4880
16343,1391
8541,14800
5853,6418
17200,6322
19546,18244
12693,16507
14219,1382
7867,15955
16657,12349
14460,18105
1762,8051
201,4875
5178,12509
1750,2475
1463,3
9803,15758
224,13613
17727,7046
14830,4566
5751,3040
17945,5427
8465,15928
2359,17009
541,17664
19724,13323
690,13132
12833,9346
17427,15243
5916,8321
17467,18205
14329,4709
14585,1161
18419,8914
18404,15576
14597,13858
8968,19318
7225,7875
13538,8999
18039,13452
14404,15627
11043,17914
10173,13442
1245,393
6069,15877
11588,1223
1232,2012
4218,7032
3489,19990
17055,19241
